HGNC_SYMBOL	GENE
MOGAT3	DGAT2L2
AWAT1	DGAT2L3
AWAT2	DGAT2L4
MOGAT2	DGAT2L5
DGAT2L6	DGAT2L6
HIRA	DGCR1
ESS2	DGCR13
ESS2	DGCR14
DGCR2	DGCR2
DGCR6	DGCR6
DGCR6L	DGCR6L
DGCR8	DGCR8
DGCR8	DGCRK6
DSPP	DGI1
DGUOK	dGK
DGKB	DGK
DGKE	DGK
DGKA	DGK-alpha
DGKB	DGK-BETA
DGKI	DGK-IOTA
DGKZ	DGK-ZETA
DGKA	DGKA
DGKB	DGKB
DGKD	DGKD
DGKD	DGKdelta
DGKE	DGKE
DGKH	DGKeta
DGKG	DGKG
DGKH	DGKH
DGKI	DGKI
DGKK	DGKK
DGKQ	DGKQ
DGKZ	DGKZ
DGLUCY	DGLUCY
DPAGT1	DGPT
DGCR2	DGS-C
ESS2	DGS-H
ESS2	DGSI
GPC3	DGSX
HAUS3	dgt3
HAUS5	dgt5
HAUS6	dgt6
UNG	DGU
DGUOK	DGUOK
HAND2	dHand
GNPAT	DHAPAT
DYNC1H1	DHC1
DYNC2H1	DHC1b
DYNC2H1	DHC2
DNAH12	DHC3
DNHD1	DHCD1
TM7SF2	DHCR14A
LBR	DHCR14B
DHCR24	DHCR24
DHCR7	DHCR7
DHDDS	DHDDS
DHDH	DHDH
NPL	DHDPS1
HOGA1	DHDPS2
HOGA1	DHDPSL
SULT2A1	DHEA-ST
DHFR	DHFR
DHFR2	DHFR2
DHFR2	DHFRL1
DHFR2	DHFRP4
DHH	DHH
ZDHHC15	DHHC15
ZDHHC2	DHHC2
ZDHHC20	DHHC20
ZDHHC21	DHHC21
ZDHHC3	DHHC3
ZDHHC5	DHHC5
ZDHHC7	DHHC7
CD74	DHLAG
DHX32	DHLP1
DHODH	DHODH
PORCN	DHOF
DPYS	DHPase
QDPR	DHPR
DPYSL2	DHPRP2
DHPS	DHPS
NQO1	DHQU
NQO2	DHQV
DHX37	Dhr1
DHX8	Dhr2
HELZ	DHRC
EFEMP1	DHRD
DHRS1	DHRS1
HSD17B14	DHRS10
DHRS11	DHRS11
DHRS12	DHRS12
DHRS13	DHRS13
DHRS2	DHRS2
DHRS3	DHRS3
DHRS4	DHRS4
DHRS4L2	DHRS4L2
DHRSX	DHRS5X
DHRSX	DHRS5Y
BDH2	DHRS6
DHRS7	DHRS7
DHRS7B	DHRS7B
DHRS7C	DHRS7C
HSD17B11	DHRS8
DHRS9	DHRS9
DHRSX	DHRSX
DHRSX	DHRSXY
DHRSX	DHRSY
KDSR	DHSR
DHTKD1	DHTKD1
AR	DHTR
DHX15	DHX15
DHX16	DHX16
DHX29	DHX29
DHX30	DHX30
DHX32	DHX32
DHX33	DHX33
DHX34	DHX34
DHX35	DHX35
DHX36	DHX36
DHX37	DHX37
DHX38	DHX38
DHX40	DHX40
DHX57	DHX57
DHX58	DHX58
DHX8	DHX8
DHX9	DHX9
SLC4A1	DI
DNM2	DI-CMTB
DIRAS1	Di-Ras1
DIRAS2	Di-Ras2
DIAPH2	DIA
LIF	DIA
C3orf58	DIA1
CYB5R3	DIA1
CXorf36	DIA1R
DIAPH2	DIA2
NQO1	DIA4
NQO2	DIA6
DIABLO	DIABLO
DIABLO	DIABLO-S
DIAPH1	DIAPH1
DIAPH2	DIAPH2
DIAPH3	DIAPH3
TXNL4A	DIB1
ALG9	DIBD1
SLC25A10	DIC
DNAI1	DIC1
DNAI2	DIC2
WDR63	DIC3
WDR78	DIC4
WDR34	DIC5
DYNC1I2	DIC74
INTS6	DICE1
DICER1	Dicer
DICER1	DICER1
WFS1	DIDMOAD
DIDO1	DIDO1
ALG10	DIE2
MALRD1	Diet1
FOXP3	DIETER
DIEXF	DIEXF
TNF	DIF
IER3	DIF-2
GGNBP2	DIF-3
GGNBP2	DIF3
SERINC3	DIFF33
RIPOR2	DIFF48
SEPT1	DIFF6
SEPT2	DIFF6
DDIT4	Dig2
RHD	DIIIc
RIPK4	DIK
TPX2	DIL-2
SPON2	DIL1
TFDP1	DILC
TXNL4A	DIM1
TXNL4B	Dim2
DIMT1	DIMT1
DIMT1	DIMT1L
POLK	DINB1
ECEL1	DINE
RNF2	DING
POLK	DINP
DIDO1	DIO-1
DIO1	DIO1
DIDO1	DIO1
DIO2	DIO2
DIO3	DIO3
GRAMD4	DIP
TSC22D3	DIP
MIB1	DIP-1
CCNDBP1	DIP1
NCKIPSD	DIP1
DAB2IP	DIP1/2
APPL2	DIP13B
DIP2A	Dip2
WDR3	DIP2
DIP2A	DIP2A
DIP2B	DIP2B
DIP2C	DIP2C
CCDC85B	DIPA
TRIM44	DIPB
PAPPA	DIPLA1
NUDT3	DIPP
NUDT4	DIPP2
NUDT4	DIPP2alpha
NUDT4	DIPP2beta
NUDT10	DIPP3a
NUDT11	DIPP3b
AVPR2	DIR
FKBPL	DIR1
AVPR2	DIR3
DIRAS1	DIRAS1
DIRAS2	DIRAS2
DIRAS3	DIRAS3
DIRC1	DIRC1
DIRC2	DIRC2
IL20RB	DIRS1
DIS3	DIS3
DIS3L	DIS3L
DIS3L	DIS3L1
DIS3L2	DIS3L2
DIS3	dis3p
DISC1	DISC1
DISP1	DISP1
DISP2	DISP2
DISP3	DISP3
DISP1	DISPA
DISP2	DISPB
RHBDF1	Dist1
BCL2L10	Diva
GTF2I	DIWS
DIXDC1	DIXDC1
DIXDC1	Dixin
PARK7	DJ-1
DNAJA1	dj-2
PARK7	DJ1
DNAJB12	DJ10
PGAM4	dJ1000K24.1
NAA20	dJ1002M8.1
CFAP61	dJ1002M8.3
MTG2	dJ1005F21.2
SIGLEC1	dJ1009E24.1
HSPA12B	dJ1009E24.2
C6orf201	dJ1013A10.5
EYS	dJ1018A4.2
DEFB118	dJ1018D12.3
TP53RK	dJ101A2.2
MPPED2	dJ1024C24.1
IFT52	dJ1028D15.1
GTSF1L	dJ1028D15.4
SMIM8	dJ102H19.2
RTL6	dJ1033E15.2
PICK1	dJ1039K5
SGSM3	DJ1042K10.2
KIF6	dJ1043E3.1
RALGAPA2	dJ1049G11.4
LRRN4	dJ1056H1.1
RPRD1B	dJ1057B20.2
DLG1	dJ1061C18.1.1
SCP2D1	dJ1068E13.2
SNAP25	dJ1068F16.2
PRND	dJ1068H6.4
PABPC1L	dJ1069P2.3
COMMD7	dJ1085F17.3
KCTD20	dJ108K11.3
SLX4IP	dJ1099D15.3
ARHGAP40	dJ1100H13.4
C20orf96	dJ1103G7.2
TRIB3	dJ1103G7.3
NRSN2	dJ1103G7.6
ZCCHC3	dJ1103G7.7
TOX2	dJ1108D11.2
SALL4	dJ1112F19.1
VSTM2L	dJ1118M15.2
LAMP5	dJ1119D9.3
RSPH3	dJ111C20.1
PHF20	dJ1121G12.1
MANBAL	dJ1141E15.2
GCNT7	dJ1153D9.2
FAM209A	dJ1153D9.3
FAM209B	dJ1153D9.4
DENND2C	dJ1156J9.1
ACSS2	dJ1161H23.1
FAM210B	dJ1167H4.1
TP53INP2	dJ1181N3.1
OSER1	dJ1183I21.1
NOL4L	dJ1184F4.2
NOL4L	dJ1184F4.4
BPIFB1	dJ1187J4.1
DDRGK1	dJ1187M17.3
ASCC3	dJ121G13.4
LYRM2	DJ122O8.2
ARPC5	dJ127C7.3
GINM1	dJ12G14.2
SEC14L4	dJ130H16.5
SOGA1	dJ132F21.1
TLDC2	dJ132F21.2
KIF6	dJ137F1.4
L3MBTL1	dJ138B7.3
TRERF1	dJ139D8.5
GUCA1A	dJ139D8.6
TUBE1	dJ142L7.2
BPIFC	dJ149A16.7
ZNF391	dJ153G14.3
CCDC167	dJ153P14.2
AHDC1	DJ159A19.3
HIST1H4K	dJ160A22.1
HIST1H2BM	dJ160A22.3
YIPF1	DJ167A19.1
HDDC2	dJ167O5.2
ARFGEF3	dJ171N11.1
TTPAL	dJ179M20.3
EFCAB6	dJ185D5.1
SMDT1	dJ186O1.1
TRMT11	dJ187J11.2
NCOA7	dJ187J11.3
KIF6	dJ188D3.1
GGT7	dJ18C9.2
HIST1H2AL	dJ193B12.9
PNLDC1	dJ195P10.2
DOPEY1	dJ202D23.2
KLHDC3	dJ20C7.3
RRP36	dJ20C7.4
CUL7	dJ20C7.5
ADAT2	dJ20N2.1
FUCA2	dJ20N2.5
WFDC12	dJ211D12.4
WFDC5	dJ211D12.5
HIST1H4C	dJ221C16.1
ATP5L2	dJ222E13.5
PRSS35	dJ223E3.1
NOL7	dJ223E5.2
HECA	dJ225E12.1
SLC35F1	dJ230I3.1
FARS2	dJ236A3.1
RIPPLY2	dJ237I15.1
TREML2	dJ238O23.1
TREML1	dJ238O23.3
MOXD1	dJ248E1.1
FIG4	dJ249I4.1
PHACTR1	dJ257A7.2
TBC1D7	dJ257A7.3
OCSTAMP	dJ257E24.3
RBM24	dJ259A10.1
MAD2L1BP	dJ261G23.1
ZSCAN16	dJ265C24.3
ERMARD	dJ266L20.3
CAMK1G	dJ272L16.1
FAXC	dJ273F20
ZC3H12D	dJ281H8.1
SUMO4	dJ281H8.4
KDM1B	dJ298J15.2
ZSCAN12	dJ29K1.2
ZSCAN23	dJ29K1.3.1
BLOC1S5	dJ303A1.3
EYS	dJ303F19.1
HDGFL1	dJ309H15.1
TBC1D32	dJ310J6.1
TTLL9	dJ310O13.1
PDRG1	dJ310O13.3
XKR7	dJ310O13.4
CCM2L	dJ310O13.5
FNDC1	dJ322A24.1
GZF1	dJ322G13.2
CSTL1	dJ322G13.4
CST11	dJ322G13.6
BTBD9	dJ322I12.1
SASH1	dJ323M4.1
HM13	dJ324O17.1
DNAL4	dJ327J16
NBPF14	DJ328E19.C1.1
MCM9	dJ329L24.3
DNPH1	dJ330M21.3
OGFRL1	dJ331H24.1
SNRNP48	dJ336K20B.1
LRRC73	dJ337H4.2
YIPF3	dJ337H4.3
SNX21	dJ337O18.4
ZSWIM1	dJ337O18.5
NEURL2	dJ337O18.6
ZSWIM3	dJ337O18.7
SPATA25	dJ337O18.8
UHRF1BP1	dJ349A12.1
TSPO2	dJ34B21.2
OARD1	dJ34B21.3
RNF146	dJ351K20.1
ECHDC1	dJ351K20.2
TMEM217	dJ355M6.2
UNC93A	dJ366N23.1
UNC93A	dJ366N23.2
TTLL2	dJ366N23.3
PDXP	dJ37E16.5
CFAP206	dJ382I10.1
RARS2	dJ382I10.6
CENPL	dJ383J4.3
PNPLA5	dJ388M5.4
C6orf106	dJ391O22.4
UBR2	dJ392M17.3
FHL5	dJ393D12.2
MMS22L	dJ39B17.2
TMCO2	dJ39G22.2
SYNCRIP	dJ3J17.2
PATZ1	dJ400N23
TUBGCP6	DJ402G11.6
MOV10L1	DJ402G11.8
OPN5	dJ402H5.1
PTCHD4	dJ402H5.2
SOGA3	dJ403A15.3
OR2B6	dJ408B20.2
ADGB	dJ408K24.1
TUBB2A	dJ40E16.7
RSPH4A	dJ412I7.1
ZUFSP	dJ412I7.3
ADTRP	dJ413H6.1
ZNF451	dJ417I1.1
MAK	dJ417M14.2
TMEM63B	dJ421H19.2
IYD	dJ422F24.1
DNALI1	dJ423B22.5
RAB44	dJ431A14.3
MBOAT1	dJ434O11.1
CRISP3	dJ442L6.3
WFDC3	dJ447F3.3
DNTTIP1	dJ447F3.4
SYS1	dJ453C12.4
TP53TG5	dJ453C12.5
SLC35B3	dJ453H5.1
SYNE1	dJ45H2.2
WFDC8	dJ461P17.1
WFDC6	dJ461P17.11
EPPIN	dJ461P17.2
WFDC2	dJ461P17.6
NIPAL3	DJ462O23.2
RSRP1	DJ465N24.2.1
ASCC3	dJ467N11.1
LTV1	dJ468K18.4
ZC2HC1B	dJ468K18.5
DSN1	dJ469A13.2
MOSPD1	dJ473B4
AGPAT4	dJ473J16.2
RPL7L1	dJ475N16.4
C20orf173	dJ477O4.4
SCML4	dJ47M23.1
LEMD2	dJ482C21.1
ELOVL5	dJ483K16.1
NT5DC1	dJ486I3.1
TSPYL4	dJ486I3.2
AKIRIN2	dJ486L4.2
ZNF831	dJ492J12.1
CALHM5	dJ493F7.3
APOBEC3G	dJ494G10.1
PERP	dJ496H19.1
CARMIL1	dJ501N12.1
SCGN	DJ501N12.8
THOC2	dJ506G2.1
PNPLA1	dJ50J22.1
CLPSL2	dJ510O8.5
CLPSL1	dJ510O8.6
LHFPL5	dJ510O8.8
SNRNP48	dJ512B11.2
TXLNB	dJ522B19.2
LRRC1	dJ523E19.1
RIPOR3	dJ530I15.2
RIPOR3	dJ530I15.3
MRPS26	dJ534B8.3
TUBB1	dJ543J19.4
PRELID3B	dJ543J19.5
RAD21L1	dJ545L17.2
ZFP64	dJ548G19.1
ZNF630	dJ54B20.2
SPACA5	dJ54B20.3
FAM217B	dJ551D2.5
ZNF341	dJ553F4.3
CHMP4B	dJ553F4.4
SLC18B1	dJ55C23.6
ACSS1	dJ568C11.3
DZANK1	dJ568F9.2
SIRPD	dJ576H24.4
CTCFL	dJ579F20.2
PPP6R2	dJ579N16.1
ZGPAT	dJ583P15.3
LIME1	dJ583P15.4
TASP1	dJ585I14.2
ABHD16B	dJ591C20.1
SPINT4	dJ601O1.1
WFDC13	dJ601O1.3
FAM83C	dJ614O4.7
FAM83D	dJ616B8.3
CHD6	dJ620E11.1
EMILIN3	dJ620E11.4
MROH8	dJ621N11.3
MROH8	dJ621N11.4
TMEM234	dJ622L5.7
SYCP2L	dJ62D2.1
MACROD2	dJ631M13.5
ELFN2	dJ63G5.3
NECAB3	dJ63M2.4
NECAB3	dJ63M2.5
C20orf144	dJ63M2.6
RHOU	DJ646B12.2
MRTO4	dJ657E11.4
SERTAD4	DJ667H12.2
CYB5R4	dJ676J13.1
ANKRD13C	dJ677H15.3
PROKR2	dJ680N4.3
TMC2	dJ686C3.3
DDX27	dJ686N3.1
WFDC9	dJ688G8.2
WFDC10A	dJ688G8.3
MPC1	dJ68L15.3
ZNF337	dJ694B14.1
NANP	dJ694B14.3
SRMS	dJ697K14.1
PPDPF	dJ697K14.9
TIPRL	dJ69E11.3
AK9	dJ70A9.1
KAT14	dJ717M23.1
ZBP1	dJ718J7.3
METTL24	dJ71D21.2
SUN5	dJ726C3.1
BPIFB2	dJ726C3.2
BPIFB3	dJ726C3.4
BPIFB4	dJ726C3.5
TGM6	dJ734P14.3
CD93	dJ737E23.1
ENTPD6	dJ738P15.3
BTBD3	dJ742J24.1
TBC1D22B	dJ744I24.2
RWDD2A	dJ747H23.2
TBX19	dj747L4.1
SFT2D2	dJ747L4.C1.2
L3MBTL2	dJ756G23.3
MYH7B	dJ756N5.1
TRPC4AP	dJ756N5.2
ZNF711	dJ75N13.1
CFTR	dJ760C5.1
NSFL1C	dJ776F14.1
SIRPB2	dJ776F14.2
GDAP2	dJ776P7.1
SMOX	dJ779E11.1
KCNK15	dJ781B1.1
RIMS4	dJ781B1.3
SLC4A11	dJ794I6.2
ITPA	dJ794I6.3
PNPLA3	dJ796I17.1
BEX2	DJ79P11.1
RBM38	dJ800J21.2
BANF2	dJ803K15.1
DOK5	dJ805C22.1
OR2J1	dJ80I19.2
OR2J2	dJ80I19.4
LY86	dJ80N2.1
RSPO4	dJ824F16.3
GGTLC1	dJ831C21.1
GGTLC1	dJ831C21.2
ZFP64	dJ831D17.1
TM9SF4	dJ836N17.2
ANKEF1	dJ839B4.6
NDUFAF5	dJ842G6.1
RNF217	dJ84N20.1
SRXN1	dJ850E9.2
TBC1D20	dJ852M4.2
ID1	dJ857M17.1.2
COX4I2	dJ857M17.2
PISD	dJ858B16.2
C20orf141	dJ860F19.4
HIST1H2AH	dJ86C11.1
MPPED2	dJ873F21.1
PGBD1	dJ874C20.4
SAMD5	dJ875H10.1
FITM2	dJ881L22.2
R3HDML	dJ881L22.3
CBLN4	dJ885A10.1
COL9A3	DJ885L7.4.1
DIDO1	dJ885L7.8
CABLES2	dJ908M14.2
RBBP8NL	dJ908M14.3
SLC5A4	DJ90G24.4
PI16	dJ90K10.5
MOCS3	dJ914P20.3
PPIL6	dJ919F19.1
CALHM6	dJ93H18.5
DCBLD1	dJ94G16.1
GOPC	dJ94G16.2
CNBD2	dJ954P9.1
RFX6	dJ955L16.1
AIG1	dJ95L4.1
ADAM33	dJ964F7.1
ABHD12	dJ965G21.2
MCM8	dJ967N21.5
CRLS1	dJ967N21.6
KIF16B	dJ971B4.1
TMX4	DJ971N18.2
HIST1H2BL	dJ97D16.4
MAS1L	dJ994E9.2
CDH22	dJ998H6.1
EFCAB6	DJBP
ABCC2	DJS
DOLK	DK1
DKC1	DKC
DKC1	DKC1
KLHL4	DKELCHL
MICU3	DKFZp313A0139
SVIP	DKFZp313A2432
SMCO1	DKFZp313B0440
RAP2C	DKFZp313B211
TECRL	DKFZp313B2333
TECRL	DKFZp313D0829
ARSK	DKFZp313G1735
SLC10A7	DKFZp313H0531
MRPS25	DKFZp313H0817
VPS50	DKFZp313I2429
TCEAL9	DKFZp313K1940
ASB14	DKFZp313L0121
GSN	DKFZp313L0718
ANO6	DKFZp313M0720
TCAIM	DKFZp313N0621
THAP5	DKFZp313O1132
ANKIB1	DKFZP434A0225
ARMC8	DKFZP434A043
CATSPERG	DKFZp434A1022
FAM210B	DKFZP434A1114
CCDC39	DKFZp434A128
HORMAD1	DKFZP434A1315
ENKD1	DKFZP434A1319
RAI1	DKFZP434A139
UBE3D	DKFZp434A1520
ANKRD20A1	DKFZp434A171
CFAP46	DKFZp434A1721
ACBD5	DKFZp434A2417
TECPR1	DKFZP434B0335
PDZRN4	DKFZp434B0417
CRISPLD2	DKFZP434B044
MOV10L1	DKFZp434B0717
TTLL3	DKFZP434B103
IGFN1	DKFZp434B1231
ADGRD1	DKFZp434B1272
GEMIN4	DKFZP434B131
MICAL1	DKFZp434B1517
INTS7	DKFZP434B168
FAM198A	DKFZP434B172
ZRANB3	DKFZP434B1727
PGM3	DKFZP434B187
TFIP11	DKFZP434B194
ADPGK	DKFZp434B195
SPATA31A3	DKFZp434B204
SPATA31A1	DKFZP434B204
FBXW5	DKFZP434B205
PCSK4	DKFZp434B217
IQCG	DKFZp434B227
TP53INP2	DKFZp434B2411
RTEL1	DKFZP434C013
GRAMD1C	DKFZp434C0328
CSTF2T	DKFZp434C1013
ULK3	DKFZP434C131
PLCH1	DKFZp434C1372
CCDC69	DKFZP434C171
TMEM18	DKFZp434C1714
FBXL17	DKFZP434C1715
SEL1L2	DKFZp434C1826
ADGRA2	DKFZp434C211
GAPVD1	DKFZP434C212
ADAMTS13	DKFZp434C2322
POC1A	DKFZP434C245
SH3D19	DKFZp434D0215
PPP1R12C	DKFZP434D0412
HYDIN	DKFZp434D0513
KIF27	DKFZp434D0917
NEK9	DKFZp434D0935
RBM33	DKFZp434D1319
LSM14A	DKFZP434D1335
ARHGEF26	DKFZP434D146
PHTF2	DKFZp434D166
GEMIN4	DKFZP434D174
ZC3H13	DKFZp434D1812
WWP1	DKFZP434D2111
UPF2	DKFZP434D222
PIDD1	DKFZp434D229
RAB3GAP2	DKFZP434D245
CERK	DKFZp434E0211
STAB2	DKFZP434E0321
TAMM41	DKFZp434E0519
SCAF4	DKFZp434E098
C1orf167	DKFZp434E1410
LAMC3	DKFZp434E202
FZD5	DKFZP434E2135
SUGP1	DKFZp434E2216
ZCCHC8	DKFZp434E2220
ZNRF1	DKFZp434E229
KBTBD7	DKFZP434E2318
CCDC74B	DKFZp434E2321
APOLD1	DKFZP434F0318
WDR24	DKFZp434F054
SLC12A7	DKFZP434F076
THUMPD3	DKFZP434F091
FSCB	DKFZP434F1017
TRAF3IP1	DKFZP434F124
HINFP	DKFZP434F162
CFAP97	DKFZp434F1728
GPATCH4	DKFZP434F1735
CAMSAP1	DKFZp434F195
NEPRO	DKFZP434F2021
FAM20A	DKFZp434F2322
ARHGEF3	DKFZP434F2429
KRT23	DKFZP434G032
NARF	DKFZp434G0420
KLHDC4	DKFZp434G0522
PLXNA4	DKFZp434G0625PRO34003
C4orf17	DKFZP434G072
RAB33B	DKFZP434G099
C2orf16	DKFZp434G118
HMGCLL1	DKFZP434G1411
PUS7L	DKFZP434G1415
RTTN	DKFZP434G145
CCDC136	DKFZP434G156
FAM71E2	DKFZp434G1729
KIF18A	DKFZP434G2226
ABCA12	DKFZP434G232
HBS1L	DKFZp434g247
TTC25	DKFZP434H0115
SAMD4A	DKFZP434H0350
ZNF543	DKFZp434H055
FAM129B	DKFZP434H0820
MS4A14	DKFZp434H092
C15orf39	DKFZP434H132
PLEKHN1	DKFZP434H2010
ADAMTS7	DKFZp434H204
LRRK2	DKFZp434H2111
DDX43	DKFZp434H2114
FNDC8	DKFZp434H2215
LMBRD2	DKFZp434H2226
SYNE2	DKFZP434H2235
MED29	DKFZp434H247
FER1L5	DKFZp434I0121
EIF5B	DKFZp434I036
DISP1	DKFZP434I0428
RGS22	DKFZP434I092
DRC7	DKFZp434I099
NUTM2F	DKFZp434I1117
SPEF1	DKFZP434I114
VIRMA	DKFZP434I116
ZNF700	DKFZp434I1610
HEATR5A	DKFZP434I1735
ZNF541	DKFZp434I1930
FAM57B	DKFZP434I2117
PLEKHG4	DKFZP434I216
EP400	DKFZP434I225
CCDC180	DKFZp434I2420
FAM186B	DKFZP434J0113
WDR62	DKFZP434J046
MEX3B	DKFZp434J0617
ADGRA2	DKFZp434J0911
ZNF853	DKFZp434J1015
DDX58	DKFZp434J1111
WIPI2	DKFZP434J154
ILKAP	DKFZP434J2031
KIF21B	DKFZP434J212
TIPARP	DKFZP434J214
SYT8	DKFZp434K0322
FBXL19	DKFZp434K0410
SLC41A2	DKFZP434K0427
COQ9	DKFZP434K046
MED25	DKFZp434K0512
ADAM33	DKFZp434K0521
BMP2K	DKFZp434K0614
COL23A1	DKFZp434K0621
LRIT1	DKFZP434K091
ZC3H7B	DKFZp434K0920
CNOT6L	DKFZp434K098
SIK2	DKFZp434K1115
DCAF4	DKFZp434K114
CCDC70	DKFZP434K1172
ZNF395	DKFZp434K1210
NSRP1	DKFZP434K1421
UBL3	DKFZP434K151
CFAP61	DKFZP434K156
ACSBG2	DKFZp434K1635
MTMR9	DKFZp434K171
ADAMTSL4	DKFZP434K1772
LRWD1	DKFZp434K1815
SIN3A	DKFZP434K2235
TMEM117	DKFZp434K2435
LARP1B	DKFZp434K245
CEP85	DKFZP434L0117
ARFGEF1	DKFZP434L057
ANKRD27	DKFZp434L0718
KCMF1	DKFZP434L1021
CCDC14	DKFZp434L1050
MEGF11	DKFZp434L121
NIPBL	DKFZp434L1319
ZSCAN21	DKFZp434L134
FAM198B	DKFZp434L142
VARS2	DKFZP434L1435
TKTL2	DKFZP434L1717
SFMBT1	DKFZp434L243
DONSON	DKFZP434M035
ZNF608	DKFZp434M098
TP53INP1	DKFZp434M1317
MAMDC4	DKFZp434M1411
CAND1	DKFZp434M1414
IRF2BP1	DKFZP434M154
KDM2A	DKFZP434M1735
SEC31B	DKFZP434M183
TDRD10	DKFZp434M202
PIGO	DKFZp434M222
ZNF473	DKFZP434N043
ZCWPW1	DKFZp434N0510
C20orf194	DKFZp434N061
ZBTB47	DKFZp434N0615
FAHD2B	DKFZp434N062
ATG7	DKFZp434N0735
DNAH3	DKFZp434N074
TDRD9	DKFZp434N0820
MATK	DKFZp434N1212
SLC25A31	DKFZP434N1235
ZMYND15	DKFZp434N127
MYCBPAP	DKFZp434N1415
CCDC113	DKFZp434N1418
ANKRD16	DKFZP434N1511
NKIRAS2	DKFZP434N1526
KIF26A	DKFZP434N178
C3orf20	DKFZP434N1817
MED28	DKFZP434N185
SHARPIN	DKFZP434N1923
C12orf29	DKFZp434N2030
ZMYND12	DKFZp434N2435
FRMD1	DKFZp434O0117
LRP5L	DKFZp434O0213
TBC1D29	DKFZP434O047
SESTD1	DKFZp434O0515
CFAP65	DKFZp434O0527
TP53INP2	DKFZp434O0827
DCAF12	DKFZP434O125
RNF146	DKFZp434O1427
NUTM1	DKFZp434O192
TMEM63C	DKFZp434P0111
HMCN2	DKFZp434P0216
QRICH2	DKFZP434P0316
TMEM63B	DKFZp434P0531
GRIPAP1	DKFZp434P0630
ARMC2	DKFZp434P0714
RPRD1B	DKFZp434P0735
NRBP2	DKFZp434P086
ABHD12	DKFZP434P106
UBR3	DKFZp434P117
PPM1J	DKFZp434P1514
ARMC4	DKFZP434P1735
TBC1D10B	DKFZP434P1750
TBC1D3	DKFZp434P2235
TBL2	DKFZP43N024
TXLNB	DKFZp451A175
GRPEL2	DKFZp451C205
XIRP1	DKFZp451D042
CMYA5	DKFZp451G223
KIF6	DKFZp451I2418
TXLNA	DKFZp451J0118
YOD1	DKFZp451J1719
ETFBKMT	DKFZp451L235
CASC4	DKFZp459F1927
CTTNBP2NL	DKFZp547A023
ZNF540	DKFZp547B0714
C1orf131	DKFZp547B1713
NFRKB	DKFZp547B2013
ELMOD1	DKFZp547C176
RNF214	DKFZp547C195
FAM20C	DKFZp547D065
CPLX2	DKFZp547D155
PIANP	DKFZp547D2210
RHBDD1	DKFZp547E052
CHTOP	DKFZP547E1010
KBTBD6	DKFZp547E1912
ASF1A	DKFZP547E2110
SCRT1	DKFZp547F072
NASP	DKFZp547F162
TMEM178B	DKFZp547G036
C2orf83	DKFZp547H025
UNC13C	DKFZp547H074
ZBTB8B	DKFZp547H154
MEIS3	DKFZp547H236
ERICH3	DKFZp547I048
CHD2	DKFZp547I1315
ELAVL3	DKFZp547J036
RTN4RL1	DKFZp547J144
PRRT2	DKFZp547J199
ZNF710	DKFZp547K1113
NUP62	DKFZp547L134
GPC2	DKFZp547M109
SLITRK4	DKFZp547M2010
SLC30A10	DKFZp547M236
SPRTN	DKFZP547N043
ZBTB7A	DKFZp547O146
C12orf73	DKFZp547P055
ATP6V1G1	DKFZp547P234
TMEM268	DKFZp547P234
RNF170	DKFZP564A022
DYNC2LI1	DKFZP564A033
BRMS1	DKFZP564A063
KIRREL2	DKFZp564A1164
WSB1	DKFZp564A122
YTHDC2	DKFZp564A186
WSB1	DKFZp564B0482
PNISR	DKFZp564B0769
DDX59	DKFZP564B1023
IBTK	DKFZP564B116
ARHGAP24	DKFZP564B1162
RTL8A	DKFZP564B147
MPC2	DKFZP564B167
SREK1	DKFZp564B176
TMEM168	DKFZp564C012
SLF1	DKFZp564C0469
NAT9	DKFZP564C103
QRSL1	DKFZP564C1278
NRBF2	DKFZp564C1664
NOC2L	DKFZP564C186
LRP10	DKFZP564C1940
AHSA2	DKFZp564C236
APH1B	DKFZp564D0372
TMEM222	DKFZP564D0478
TCTN3	DKFZP564D116
HDHD2	DKFZP564D1378
TANC2	DKFZP564D166
FAM172A	DKFZP564D172
NIPSNAP3A	DKFZp564D177
AP2A2	DKFZP564D1864
SOSTDC1	DKFZp564D206
TMEM47	DKFZp564E153
FAM98A	DKFZP564F0522
PTPN23	DKFZP564F0923
TMEM251	DKFZP564F1123
RAI14	DKFZp564G013
FZD1	DKFZp564G072
HERC4	DKFZP564G092
C6orf62	DKFZP564G182
MOXD1	DKFZP564G202
TMEM87A	DKFZP564G2022
RBMS1	DKFZp564H0764
THAP2	DKFZP564I0422
ZZZ3	DKFZP564I052
MMACHC	DKFZP564I122
MXRA5	DKFZp564I1922
NDUFAF3	DKFZP564J0123
TEX35	DKFZP564J047
ATL3	DKFZP564J0863
FAM149A	DKFZP564J102
PRR13	DKFZP564J157
CCDC8	DKFZp564K0322
VOPP1	DKFZp564K0822
LARP7	DKFZP564K112
MAGT1	DKFZp564K142
TMEM98	DKFZP564K1964
TMEM186	DKFZP564K2062
SLC35G2	DKFZp564K2464
HIGD1A	DKFZP564K247
ANAPC10	DKFZP564L0562
AKAP2	DKFZp564L0716
ASB9	DKFZP564L0862
MFSD14A	DKFZP564L0864
SLC39A10	DKFZp564L2123
LMAN2L	DKFZp564L2423
ANAPC15	DKFZP564M082
MOB4	DKFZP564M112
ATG3	DKFZp564M1178
